iter	MAE
0	58.36127456
1	56.39872776
2	54.82553201
3	53.64826618
4	52.64036003
5	52.02216386
6	51.39807523
7	50.94132717
8	50.62782448
9	50.26797601
10	49.92935648
11	49.75727098
12	49.5788612
13	49.40151746
14	49.18345573
15	49.1027932
16	49.00889517
17	48.90827635
18	48.84538015
19	48.78545183
20	48.74073426
21	48.70918775
22	48.67605956
23	48.64942931
24	48.63404802
25	48.61077768
26	48.58641115
27	48.57408677
28	48.55232783
29	48.5418089
30	48.52953292
31	48.52185066
32	48.50266752
33	48.49313686
34	48.46121072
35	48.45346005
36	48.44826851
37	48.43916963
38	48.42116948
39	48.40841904
40	48.40591552
41	48.40233595
42	48.39608062
43	48.38494916
44	48.38271455
45	48.35816349
46	48.34692949
47	48.33283964
48	48.32946412
49	48.32359299
50	48.31798155
51	48.31279334
52	48.30400539
53	48.30050541
54	48.29661045
55	48.28845654
56	48.27666108
57	48.27515499
58	48.27373851
59	48.26842341
60	48.26687829
61	48.26014625
62	48.25309946
63	48.25152561
64	48.2499233
65	48.24354348
66	48.23905267
67	48.23814636
68	48.23538047
69	48.22130881
70	48.20981553
71	48.20746388
72	48.20686698
73	48.20503687
74	48.19360943
75	48.1917314
76	48.18986377
77	48.18917343
78	48.18693373
79	48.18618688
80	48.18480923
81	48.18346167
82	48.17142997
83	48.17019337
84	48.169875
85	48.167359
86	48.166148
87	48.16144356
88	48.14337076
89	48.10577112
90	48.09415288
91	48.08969317
92	48.0771788
93	48.06080184
94	48.02988699
95	48.02841873
96	48.02367719
97	48.01994273
98	48.00762287
99	47.99015491
100	47.98807498
101	47.98381024
102	47.97965144
103	47.97727596
104	47.95482994
105	47.92460293
106	47.92067062
107	47.91918334
108	47.91808657
109	47.9172581
110	47.91674063
111	47.91644757
112	47.8868334
113	47.8708813
114	47.78877222
115	47.76968456
116	47.70840849
117	47.66361214
118	47.62366353
119	47.61974906
120	47.61659095
121	47.61460217
122	47.60907147
123	47.6037261
124	47.59804655
125	47.59218274
126	47.58760178
